,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2164,62084369,300730.XSHE,93.0046,,5.9421,6.5255,-205.9751,15941.3193,24.5496,11098.2129,17.0912,2021-01-01,68.3689
2165,62085105,300731.XSHE,95.9474,,4.5349,9.301,-26.4764,12603.667,27.8163,11817.4795,26.0812,2021-01-01,56.2985
2166,62085366,300732.XSHE,11.3746,,1.3815,1.7717,13.360999999999999,22961.5176,31.2047,22045.502,29.9598,2021-01-01,11.5542
2167,62084517,300733.XSHE,209.9743,,2.7491,6.0242,-291.0242,16000.0,31.136,6783.751,13.2012,2021-01-01,146.6187
2168,62083565,300735.XSHE,25.4463,,2.4963,4.3761,33.0881,77462.1094,105.7358,75521.6094,103.087,2021-01-01,24.6399
2169,62084464,300736.XSHE,-12.5076,,4.9038,2.4355,579.3299,13027.3359,12.0503,8110.1973,7.5019,2021-01-01,-12.9643
2170,62083526,300737.XSHE,19.6226,,3.4444,2.3169,100.7598,61122.082,131.168,30180.1367,64.7666,2021-01-01,36.0985
2171,62083947,300738.XSHE,50.8731,,5.8605,10.0109,-127.3386,21202.4805,73.9967,10154.916,35.4407,2021-01-01,71.2932
2172,62085964,300739.XSHE,38.7928,,3.9589999999999996,4.3105,176.5757,27931.2891,54.4102,7020.0,13.675,2021-01-01,40.9351
2173,62082672,300740.XSHE,80.8754,,5.7626,2.3417,31.9213,41106.0469,74.4019,22173.5723,40.1342,2021-01-01,273.3089
2174,62082588,300741.XSHE,27.6494,,4.5787,15.8608,55.4704,61588.0,337.9334,11587.7148,63.5818,2021-01-01,27.3513
2175,62083387,300742.XSHE,-2.4831,,5.2664,4.4785,-52.2763,7849.8569,18.8711,4311.0005,10.3636,2021-01-01,-2.2448
2176,62085543,300743.XSHE,89.7169,,3.9505,3.7643,105.1899,9888.79,15.475999999999999,5447.4434,8.5252,2021-01-01,58.4201
2177,62082558,300745.XSHE,-18.0892,,2.3734,5.7759,57.5224,11459.2354,22.8612,6421.8516,12.8116,2021-01-01,84.5415
2178,62086216,300746.XSHE,25.7532,,2.1937,1.4544,269.3586,22573.832000000002,26.75,7243.9858,8.5841,2021-01-01,29.011
2179,62086115,300747.XSHE,112.4919,,10.331,12.4958,61.3831,28800.0,253.0368,15280.9023,134.25799999999998,2021-01-01,77.8081
2180,62086201,300748.XSHE,74.4367,,11.2462,7.0521,59.5516,41597.6211,151.1658,25809.8613,93.79299999999999,2021-01-01,96.3574
2181,62085592,300749.XSHE,53.9643,,2.4343,2.1562,-73.4023,20516.9395,19.0808,8626.7695,8.0229,2021-01-01,24.4979
2182,62082447,300750.XSHE,183.6794,,13.3304,18.3985,21.7982,232947.4062,8179.0161,123463.7891,4334.937,2021-01-01,179.3523
2183,62085925,300751.XSHE,104.0461,,22.1042,17.3392,-135.8282,5200.0,352.0452,2891.8889,195.7838,2021-01-01,142.2158
2184,62083964,300752.XSHE,72.4151,,5.0271,2.1721,-51.9044,12053.7324,44.0564,3306.4561,12.0851,2021-01-01,51.6403
2185,62083412,300753.XSHE,31.1793,,3.792,7.3126,14.4223,10504.0,26.5751,4915.2129,12.4355,2021-01-01,25.9666
2186,62084925,300755.XSHE,31.2852,,3.9507,2.3899,-94.0233,41679.8398,109.1178,11960.6426,31.313000000000002,2021-01-01,34.1587
2187,62083733,300756.XSHE,51.7274,,2.1792,5.5194,75.1776,10196.6201,22.9934,3336.1658,7.5231,2021-01-01,20.9976
2188,62083819,300757.XSHE,82.5049,,5.337999999999999,6.4251,6143.2095,10400.0,39.1248,5486.7798,20.6413,2021-01-01,39.1714
2189,62084906,300758.XSHE,31.0764,,3.6974,4.9995,-33.7774,19202.4004,43.8391,12347.6758,28.1897,2021-01-01,40.5545
